Unique ID,created_at,user_id,username,user_screen_name,text,retweets_count,likes_count,mentions,urls,photos,hashtags,SentimentScore,CountPunc,Readability,no_of_words,no_of_question_marks,no_of_exclamation_marks,no_of_hashtags,no_of_urls,tokenized_text,token_texts,Final Label
763,2021-02-24 09:40:45 Eastern Standard Time,7.55E+17,berniespofforth,Bernie's Tweets,The Government is the biggest threat to civil liberty in the U.K.   Thats is. That's the tweet.  #COVID19 #vaccine,348,1501,[],[],[],"['covid19', 'vaccine']",0,7,6.4,19,0,0,2,0,"['The', 'Government', 'is', 'the', 'biggest', 'threat', 'to', 'civil', 'liberty', 'in', 'the', 'U', '.', 'K', '.', 'Thats', 'is', '.', ""That's"", 'the', 'tweet', '.', '#COVID19', '#vaccine']","['Government', 'biggest', 'threat', 'civil', 'liberty', 'U', '.', 'K', '.', 'Thats', '.', ""That's"", 'tweet', '.', '#COVID19', '#vaccine']",FAKE
1997,2021-02-23 11:36:27 Eastern Standard Time,7.55E+17,berniespofforth,Bernie's Tweets,"Will those who are exempt from Vaccines be segregated into different area of pubs, cinemas and theatres etc? Will they have segregated public transport and entrances to offices?  Sounds very much like health apartheid to me.  #vaccine #COVID19",146,693,[],[],[],"['vaccine', 'covid19']",0.5482,6,13.4,38,2,0,2,0,"['Will', 'those', 'who', 'are', 'exempt', 'from', 'Vaccines', 'be', 'segregated', 'into', 'different', 'area', 'of', 'pubs', ',', 'cinemas', 'and', 'theatres', 'etc', '?', 'Will', 'they', 'have', 'segregated', 'public', 'transport', 'and', 'entrances', 'to', 'offices', '?', 'Sounds', 'very', 'much', 'like', 'health', 'apartheid', 'to', 'me', '.', '#vaccine', '#COVID19']","['exempt', 'Vaccines', 'segregated', 'different', 'area', 'pubs', ',', 'cinemas', 'theatres', 'etc', '?', 'segregated', 'public', 'transport', 'entrances', 'offices', '?', 'Sounds', 'much', 'like', 'health', 'apartheid', '.', '#vaccine', '#COVID19']",FAKE
2915,2021-02-22 16:01:14 Eastern Standard Time,1864591632,theomoudakis,Theo Moudakis,Please enjoy Tuesday's #vaccine cartoon in @TorontoStar #COVID19  https://t.co/gzsCJg9z3p,58,282,"[{'screen_name': 'torontostar', 'name': 'toronto star', 'id': '12848262'}]",[],['https://pbs.twimg.com/media/Eu2_s1wVoAEVa3h.jpg'],"['vaccine', 'covid19']",0.6705,9,24.9,9,0,0,2,0,"['Please', 'enjoy', ""Tuesday's"", '#vaccine', 'cartoon', 'in', '@TorontoStar', '#COVID19', 'https://t.co/gzsCJg9z3p']","['Please', 'enjoy', ""Tuesday's"", '#vaccine', 'cartoon', '@TorontoStar', '#COVID19', 'https://t.co/gzsCJg9z3p']",FAKE
2188,2021-02-23 09:20:30 Eastern Standard Time,3171668783,offguardian0,OffGuardian,"It's been a good year for baffling and unintentionally funny headlines, but I think this might be my new favourite:  ""No link between COVID-19 vaccines and those who die after receiving them""  #Covid19 #vaccine   https://t.co/mJTHrR0ZQR",148,279,[],['https://abcnews.go.com/Health/post-vaccination-deaths-dont-covid-19-vaccine-deadly/story?id=75524209'],[],"['covid19', 'vaccine']",-0.5346,13,22.7,35,0,0,2,1,"[""It's"", 'been', 'a', 'good', 'year', 'for', 'baffling', 'and', 'unintentionally', 'funny', 'headlines', ',', 'but', 'I', 'think', 'this', 'might', 'be', 'my', 'new', 'favourite', ':', '""', 'No', 'link', 'between', 'COVID', '-', '19', 'vaccines', 'and', 'those', 'who', 'die', 'after', 'receiving', 'them', '""', '#Covid19', '#vaccine', 'https://t.co/mJTHrR0ZQR']","['good', 'year', 'baffling', 'unintentionally', 'funny', 'headlines', ',', 'think', 'might', 'new', 'favourite', ':', '""', 'link', 'COVID', '-', '19', 'vaccines', 'die', 'receiving', '""', '#Covid19', '#vaccine', 'https://t.co/mJTHrR0ZQR']",FAKE
14240,2021-02-13 12:24:37 Eastern Standard Time,3171668783,offguardian0,OffGuardian,"Or maybe just the fact it's an experimental new type of ""#vaccine"" that is yet to have any kind of longterm safety testing, and the virus it allegedly prevents has a 99.8% survival rate. #Covid19",97,217,[],[],[],"['vaccine', 'covid19']",0.4767,9,17.7,35,0,0,2,0,"['Or', 'maybe', 'just', 'the', 'fact', ""it's"", 'an', 'experimental', 'new', 'type', 'of', '""', '#vaccine', '""', 'that', 'is', 'yet', 'to', 'have', 'any', 'kind', 'of', 'longterm', 'safety', 'testing', ',', 'and', 'the', 'virus', 'it', 'allegedly', 'prevents', 'has', 'a', '99.8', '%', 'survival', 'rate', '.', '#Covid19']","['maybe', 'fact', 'experimental', 'new', 'type', '""', '#vaccine', '""', 'yet', 'kind', 'longterm', 'safety', 'testing', ',', 'virus', 'allegedly', 'prevents', '99.8', '%', 'survival', 'rate', '.', '#Covid19']",FAKE
12162,2021-02-15 10:58:23 Eastern Standard Time,29602803,waconzy,WACONZY SUPAMAN,"Before you believe @BillGates you should all remember the ""millennium bug"" scam of year 2000 by the same #billgates. If #mRNA #vaccine will train your cells how to fight #Covid19 ( like they claim) , dont you think it will teach your cells other crazy stuff. Wake up from sleep !",2,5,"[{'screen_name': 'billgates', 'name': 'bill gates', 'id': '50393960'}]",[],[],"['billgates', 'mrna', 'vaccine', 'covid19']",-0.7574,13,9,51,0,1,4,0,"['Before', 'you', 'believe', '@BillGates', 'you', 'should', 'all', 'remember', 'the', '""', 'millennium', 'bug', '""', 'scam', 'of', 'year', '2000', 'by', 'the', 'same', '#billgates', '.', 'If', '#mRNA', '#vaccine', 'will', 'train', 'your', 'cells', 'how', 'to', 'fight', '#Covid19', '(', 'like', 'they', 'claim', ')', ',', 'dont', 'you', 'think', 'it', 'will', 'teach', 'your', 'cells', 'other', 'crazy', 'stuff', '.', 'Wake', 'up', 'from', 'sleep', '!']","['believe', '@BillGates', 'remember', '""', 'millennium', 'bug', '""', 'scam', 'year', '2000', '#billgates', '.', '#mRNA', '#vaccine', 'train', 'cells', 'fight', '#Covid19', '(', 'like', 'claim', ')', ',', 'dont', 'think', 'teach', 'cells', 'crazy', 'stuff', '.', 'Wake', 'sleep', '!']",FAKE
17377,2021-02-10 20:48:00 Eastern Standard Time,2766805044,todaysopinionis,Find,Who remembers this video from months ago that was repeatedly taken down? #COVID19 #COVIDVaccine #vaccine #pandemic #scam #Hydroxychloroquine #ivermectin  https://t.co/yijRv3inSE,2,3,[],[],[],"['covid19', 'covidvaccine', 'vaccine', 'pandemic', 'scam', 'hydroxychloroquine', 'ivermectin']",-0.5719,13,25.5,20,1,0,7,0,"['Who', 'remembers', 'this', 'video', 'from', 'months', 'ago', 'that', 'was', 'repeatedly', 'taken', 'down', '?', '#COVID19', '#COVIDVaccine', '#vaccine', '#pandemic', '#scam', '#Hydroxychloroquine', '#ivermectin', 'https://t.co/yijRv3inSE']","['remembers', 'video', 'months', 'ago', 'repeatedly', 'taken', '?', '#COVID19', '#COVIDVaccine', '#vaccine', '#pandemic', '#scam', '#Hydroxychloroquine', '#ivermectin', 'https://t.co/yijRv3inSE']",FAKE
4270,2021-02-21 11:01:50 Eastern Standard Time,1.19E+18,lizyoun55179126,Elizabeth Young,Concerning the scamdemic @patton6966 @awilliamscomedy @aoirthoir @Borrasavage1 @JoeBiden  @KamalaHarris @ianbrown @BillGates @celebrityradio @OluwatayoOluwa3 #Covid19 #vaccine #GreatReset #lockdown  https://t.co/rlpRcfuEhn,0,2,"[{'screen_name': 'patton6966', 'name': 'mark taylor', 'id': '3740820863'}, {'screen_name': 'awilliamscomedy', 'name': 'president elect alistair williams', 'id': '191802041'}, {'screen_name': 'aoirthoir', 'name': 'aoirthoir an broc', 'id': '1277028550433017857'}, {'screen_name': 'borrasavage1', 'name': 'borrasavage', 'id': '983582344270540801'}, {'screen_name': 'joebiden', 'name': 'joe biden', 'id': '939091'}, {'screen_name': 'kamalaharris', 'name': 'kamala harris', 'id': '30354991'}, {'screen_name': 'ianbrown', 'name': 'ian brown', 'id': '66788135'}, {'screen_name': 'billgates', 'name': 'bill gates', 'id': '50393960'}, {'screen_name': 'celebrityradio', 'name': 'alex belfield', 'id': '19186976'}, {'screen_name': 'oluwatayooluwa3', 'name': 'holyseye', 'id': '2257677562'}]",[],"['https://pbs.twimg.com/media/EuwxlETXEAMs8hX.jpg', 'https://pbs.twimg.com/media/EuwxlZrWgAQNcps.jpg']","['covid19', 'vaccine', 'greatreset', 'lockdown']",0,19,40.7,18,0,0,4,0,"['Concerning', 'the', 'scamdemic', '@patton6966', '@awilliamscomedy', '@aoirthoir', '@Borrasavage1', '@JoeBiden', '@KamalaHarris', '@ianbrown', '@BillGates', '@celebrityradio', '@OluwatayoOluwa3', '#Covid19', '#vaccine', '#GreatReset', '#lockdown', 'https://t.co/rlpRcfuEhn']","['Concerning', 'scamdemic', '@patton6966', '@awilliamscomedy', '@aoirthoir', '@Borrasavage1', '@JoeBiden', '@KamalaHarris', '@ianbrown', '@BillGates', '@celebrityradio', '@OluwatayoOluwa3', '#Covid19', '#vaccine', '#GreatReset', '#lockdown', 'https://t.co/rlpRcfuEhn']",FAKE
16847,2021-02-11 09:28:45 Eastern Standard Time,87281479,lailaka,Laila Aboushakra,Oh wow Isn't great when the past comes up and exposes the #pandemic #vaccine #2011 article. #depopulation #genocide #coronavirus #COVID19 #billgates #BorisJohnson #CORRUPTION #BigExpose #WHO @BorisJohnson @MattHancock @WHO @BillGates @CMO_England @Conservatives killing your own,3,2,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}, {'screen_name': 'matthancock', 'name': 'matt hancock', 'id': '19825835'}, {'screen_name': 'who', 'name': 'world health organization (who)', 'id': '14499829'}, {'screen_name': 'billgates', 'name': 'bill gates', 'id': '50393960'}, {'screen_name': 'cmo_england', 'name': 'professor chris whitty', 'id': '1178622443814084608'}, {'screen_name': 'conservatives', 'name': 'conservatives', 'id': '14281853'}]",[],[],"['pandemic', 'vaccine', 'depopulation', 'genocide', 'coronavirus', 'covid19', 'billgates', 'borisjohnson', 'corruption', 'bigexpose', 'who']",-0.6591,21,29.5,34,0,0,11,0,"['Oh', 'wow', ""Isn't"", 'great', 'when', 'the', 'past', 'comes', 'up', 'and', 'exposes', 'the', '#pandemic', '#vaccine', '#2011', 'article', '.', '#depopulation', '#genocide', '#coronavirus', '#COVID19', '#billgates', '#BorisJohnson', '#CORRUPTION', '#BigExpose', '#WHO', '@BorisJohnson', '@MattHancock', '@WHO', '@BillGates', '@CMO_England', '@Conservatives', 'killing', 'your', 'own']","['Oh', 'wow', 'great', 'past', 'comes', 'exposes', '#pandemic', '#vaccine', '#2011', 'article', '.', '#depopulation', '#genocide', '#coronavirus', '#COVID19', '#billgates', '#BorisJohnson', '#CORRUPTION', '#BigExpose', '#WHO', '@BorisJohnson', '@MattHancock', '@WHO', '@BillGates', '@CMO_England', '@Conservatives', 'killing']",FAKE
2095,2021-02-23 10:34:31 Eastern Standard Time,3302814657,nybybirth,NYbyBirth,#BillGates #COVID19 #VaccinePassports #vaccine  What is the real agenda? Knowledge is power.  Let's learn about Bill Gates.   https://t.co/8ewfuwouVQ,0,1,[],['https://ceflix.org/videos/watch/1852060/bill-gates-what-you-were-not-told/goodgospelplaylist'],[],"['billgates', 'covid19', 'vaccinepassports', 'vaccine']",0,13,16.6,18,1,0,4,1,"['#BillGates', '#COVID19', '#VaccinePassports', '#vaccine', 'What', 'is', 'the', 'real', 'agenda', '?', 'Knowledge', 'is', 'power', '.', ""Let's"", 'learn', 'about', 'Bill', 'Gates', '.', 'https://t.co/8ewfuwouVQ']","['#BillGates', '#COVID19', '#VaccinePassports', '#vaccine', 'real', 'agenda', '?', 'Knowledge', 'power', '.', ""Let's"", 'learn', 'Bill', 'Gates', '.', 'https://t.co/8ewfuwouVQ']",FAKE
